symbol,spot_price,spot_price_chg_pct,total_traded_vol,delivery_vol_pct,futures_ltp,futures_price_chg_pct,futures_oi,futures_oi_prev,futures_oi_chg_pct,futures_buildup,pcr_ratio,imm_resistance_strike,imm_resistance_strength,imm_resistance_rating,imm_resistance_buildup,imm_support_strike,imm_support_strength,imm_support_rating,imm_support_buildup,global_ce_wall,global_pe_wall,max_pain,risk_flag_code,risk_alert_title,risk_description
HINDUNILVR,2154.6,0.56,819175,56.40%,2158.8,0.72,18191700,18114000,0.43,Long Buildup,0.809,2160.0,66,MODERATE,–,2140.0,54,MODERATE,–,2200.0,2100.0,2160.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 2140.0 (MODERATE) | Resistance at 2160.0 (MODERATE).
ICICIBANK,1440.7,-1.53,8345136,73.62%,1443.7,-1.37,97284600,94996300,2.41,Short Buildup,0.675,1450.0,64,MODERATE,–,1440.0,32,WEAK,–,1460.0,1400.0,1410.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1440.0 (WEAK) | Resistance at 1450.0 (MODERATE).
ICICIGI,1583.5,-2.49,1295890,61.80%,1594.3,-1.72,6294275,6294275,0.0,Flat,0.706,1600.0,84,STRONG,Short Buildup,1580.0,76,MODERATE,Long Buildup,1800.0,1480.0,1640.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1580.0 – 1600.0.
IDEA,13.54,0.37,356889740,25.36%,13.62,0.81,827503004,827503004,0.0,Flat,0.454,14.0,86,STRONG,–,13.0,88,STRONG,–,15.0,13.0,14.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 13.0 – 14.0.
IDFCFIRSTB,80.72,-1.15,13767011,52.98%,80.74,-1.2,341366375,337619275,1.11,Short Buildup,0.787,81.0,85,STRONG,–,80.0,55,MODERATE,–,85.0,80.0,80.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 80.0 (MODERATE) | Resistance at 81.0 (STRONG).
IEX,123.48,-0.76,2492269,36.27%,123.74,-0.77,74250150,74250150,0.0,Flat,0.599,124.0,60,MODERATE,–,123.0,45,WEAK,–,125.0,120.0,122.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 123.0 – 124.0.
IGL,151.38,-1.49,1084851,53.77%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
INDHOTEL,724.85,-0.92,3965242,39.82%,720.1,-1.65,26844000,26127000,2.74,Short Buildup,0.657,725.0,50,MODERATE,–,720.0,51,MODERATE,–,760.0,720.0,730.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 720.0 (MODERATE) | Resistance at 725.0 (MODERATE).
INDIACEM,409.65,1.1,776700,26.64%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
INDIANB,827.55,-3.25,1611184,48.59%,829.8,-2.94,16378000,15922000,2.86,Short Buildup,0.979,830.0,55,MODERATE,–,821.75,59,MODERATE,–,900.0,800.0,840.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 821.75 (MODERATE) | Resistance at 830.0 (MODERATE).
